Vehicle Class,Coverage,Renew Offer Type,EmploymentStatus,Marital Status,Education,Number of Policies,Monthly Premium Auto,Total Claim Amount,Income,Customer Lifetime Value
Two-Door Car,Extended,Offer2,Employed,Single,Bachelor,2,90,108.118855,81439,10391.78109
SUV,Basic,Offer3,Employed,Divorced,College,1,115,23.810491,67801,4505.405812
Two-Door Car,Premium,Offer2,Employed,Married,Bachelor,4,116,346.265295,85654,9247.547393
Four-Door Car,Basic,Offer4,Unemployed,Married,High School or Below,1,69,331.2,0,2537.744494
Four-Door Car,Basic,Offer2,Unemployed,Single,High School or Below,1,71,517.056582,0,2533.796807
Four-Door Car,Basic,Offer3,Employed,Married,College,1,64,307.2,37072,2542.845763
SUV,Extended,Offer1,Medical Leave,Divorced,College,2,121,109.814874,10563,13523.12989
SUV,Basic,Offer1,Employed,Single,Bachelor,2,104,499.2,44428,12036.62051
Four-Door Car,Basic,Offer1,Medical Leave,Married,College,1,61,294.92773,24641,2311.382109
SUV,Extended,Offer1,Unemployed,Married,College,3,122,585.6,0,8630.696198
Four-Door Car,Extended,Offer1,Employed,Married,Bachelor,2,96,298.362415,97830,11628.73401
Two-Door Car,Extended,Offer1,Employed,Single,Bachelor,1,87,488.84232,38821,3339.299496
Four-Door Car,Basic,Offer4,Unemployed,Married,College,5,67,216.196521,0,5028.739297
Two-Door Car,Basic,Offer2,Employed,Married,College,3,68,301.437365,86132,5505.057003
Two-Door Car,Extended,Offer2,Employed,Married,High School or Below,7,84,599.000883,56980,6689.022728
Four-Door Car,Extended,Offer3,Employed,Married,College,1,99,167.174678,39101,3978.665051
Four-Door Car,Basic,Offer3,Medical Leave,Married,Bachelor,1,63,182.964184,18064,2361.883909
Two-Door Car,Basic,Offer1,Employed,Married,High School or Below,1,65,312,22562,2584.203924
Four-Door Car,Basic,Offer3,Employed,Married,College,1,65,150.235884,49308,2597.864075
Four-Door Car,Basic,Offer1,Medical Leave,Divorced,Master,8,64,460.8,19834,4241.636538
Luxury SUV,Basic,Offer1,Medical Leave,Single,College,1,194,970.688934,24030,7048.384055
Two-Door Car,Basic,Offer1,Employed,Married,Master,3,69,331.2,31530,5460.373249
SUV,Extended,Offer2,Employed,Divorced,Bachelor,3,131,984.170299,30604,9915.90229
Four-Door Car,Basic,Offer1,Unemployed,Single,College,2,67,482.4,0,19668.86758
Sports Car,Extended,Offer3,Unemployed,Single,High School or Below,6,139,1000.8,0,9817.026936
Sports Car,Extended,Offer1,Retired,Divorced,College,1,139,667.2,12902,4904.894731
Two-Door Car,Basic,Offer1,Unemployed,Single,College,4,64,759.285255,0,4194.906755
SUV,Basic,Offer2,Employed,Married,College,2,112,784.65781,50631,13297.71225
Two-Door Car,Basic,Offer1,Employed,Married,Bachelor,8,74,45.425684,30968,5759.011129
Sports Car,Extended,Offer3,Unemployed,Single,High School or Below,2,124,928.817071,0,17253.72944
SUV,Basic,Offer3,Employed,Married,High School or Below,2,101,410.508316,42995,11982.42085
SUV,Extended,Offer1,Employed,Married,Master,1,138,139.826393,45971,5512.342258
Four-Door Car,Basic,Offer1,Employed,Married,College,6,65,136.684141,52629,5206.118179
SUV,Basic,Offer1,Unemployed,Married,Bachelor,7,118,153.176419,0,8356.181097
Two-Door Car,Basic,Offer2,Employed,Married,Bachelor,1,71,56.092247,79189,2878.766728
Four-Door Car,Basic,Offer4,Employed,Divorced,Bachelor,1,70,336,55005,2808.078361
Four-Door Car,Extended,Offer1,Retired,Divorced,High School or Below,4,84,604.8,12201,6071.907243
Luxury SUV,Basic,Offer1,Unemployed,Single,Bachelor,5,186,1441.843837,0,11972.78231
Four-Door Car,Extended,Offer2,Employed,Single,Doctor,1,90,634.385937,28248,3536.431774
Four-Door Car,Extended,Offer2,Employed,Divorced,College,1,81,207.75186,62873,3230.576665
SUV,Basic,Offer4,Unemployed,Single,Bachelor,3,101,1021.719397,0,6857.519928
Sports Car,Extended,Offer3,Employed,Married,College,8,133,80.70505,46707,10517.15638
Four-Door Car,Basic,Offer2,Medical Leave,Single,College,9,63,302.4,22571,4605.036646
Four-Door Car,Basic,Offer2,Employed,Married,College,9,64,300.940297,80797,5166.190278
Two-Door Car,Basic,Offer1,Unemployed,Married,College,3,69,344.469652,0,5171.272924
Luxury Car,Basic,Offer3,Employed,Married,College,3,198,1396.702365,54833,15512.24997
Two-Door Car,Basic,Offer2,Retired,Married,College,5,66,316.8,26802,4636.54647
Two-Door Car,Basic,Offer1,Employed,Married,Bachelor,2,64,282.146354,77642,7710.912153
Four-Door Car,Extended,Offer4,Employed,Married,College,2,96,4.334425,84581,15435.68882
Two-Door Car,Basic,Offer1,Unemployed,Married,College,2,68,489.6,0,7452.543017
Sports Car,Basic,Offer4,Retired,Divorced,College,2,117,561.6,13624,27937.75093
SUV,Basic,Offer2,Employed,Married,College,1,108,112.660916,75648,4349.30875
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,3,65,288.572108,35625,5107.163002
Four-Door Car,Basic,Offer2,Employed,Married,Master,1,64,187.903224,26047,2547.370551
Four-Door Car,Basic,Offer3,Employed,Married,High School or Below,4,67,266.996814,61894,5353.932122
Four-Door Car,Extended,Offer2,Employed,Single,Bachelor,2,82,47.952426,81639,16548.85665
Two-Door Car,Extended,Offer1,Disabled,Divorced,Master,1,79,483.731784,20075,2913.323811
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,8,67,321.6,22627,5285.307579
Two-Door Car,Extended,Offer4,Unemployed,Married,Bachelor,1,79,168.89233,0,2863.043304
Two-Door Car,Basic,Offer2,Employed,Married,High School or Below,1,67,407.776546,62452,2671.817549
Four-Door Car,Basic,Offer2,Unemployed,Divorced,High School or Below,2,63,685.12694,0,16468.22079
Four-Door Car,Premium,Offer2,Employed,Married,Bachelor,2,104,499.2,81400,16699.46158
Luxury SUV,Extended,Offer1,Unemployed,Single,Bachelor,1,245,2345.413441,0,8672.229719
Four-Door Car,Extended,Offer2,Employed,Married,Bachelor,1,97,315.879728,95018,3900.906002
Two-Door Car,Basic,Offer2,Employed,Single,Master,1,65,312,20200,2417.777032
Four-Door Car,Extended,Offer4,Employed,Single,College,2,86,425.662574,30430,9707.647552
Four-Door Car,Basic,Offer2,Employed,Married,College,1,72,226.10336,94178,2871.145075
SUV,Basic,Offer3,Employed,Divorced,Bachelor,1,113,497.047297,61953,4416.206243
Sports Car,Basic,Offer1,Employed,Single,Bachelor,2,105,22.45383,22220,36229.40842
Four-Door Car,Extended,Offer2,Employed,Married,Bachelor,4,83,100.652984,23772,6687.593818
Luxury Car,Basic,Offer1,Employed,Married,Master,1,191,985.193759,48689,7783.78421
Four-Door Car,Basic,Offer2,Employed,Single,Bachelor,1,63,61.769564,89451,2530.705137
Four-Door Car,Basic,Offer1,Employed,Married,Bachelor,2,74,225.518065,35300,26305.41541
Four-Door Car,Basic,Offer2,Employed,Single,College,2,73,525.6,21733,8550.386579
Two-Door Car,Basic,Offer1,Employed,Married,College,2,66,316.8,52342,10426.08551
Four-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,2,66,475.2,0,6889.557028
Two-Door Car,Extended,Offer1,Medical Leave,Divorced,High School or Below,2,97,44.730323,27339,10626.80746
Four-Door Car,Basic,Offer1,Medical Leave,Divorced,High School or Below,1,65,329.206567,25965,2491.257604
Four-Door Car,Basic,Offer2,Employed,Divorced,Bachelor,2,73,350.4,29540,8697.882675
Four-Door Car,Extended,Offer3,Disabled,Single,Bachelor,1,88,633.6,16061,3239.124699
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,2,67,321.6,65636,8013.895125
Two-Door Car,Premium,Offer2,Employed,Married,High School or Below,1,116,556.8,76157,4669.22664
Four-Door Car,Extended,Offer1,Unemployed,Single,High School or Below,1,96,726.132858,0,3482.038245
Four-Door Car,Basic,Offer1,Employed,Married,Bachelor,3,64,126.049033,92427,5113.899098
Four-Door Car,Basic,Offer2,Unemployed,Single,Bachelor,1,74,532.8,0,2604.84712
Four-Door Car,Basic,Offer3,Employed,Married,Bachelor,2,66,316.8,32225,7851.349465
Four-Door Car,Extended,Offer3,Unemployed,Single,College,1,83,708.693556,0,2987.949471
Two-Door Car,Extended,Offer2,Employed,Married,Master,2,94,107.187926,73359,30154.68108
Four-Door Car,Extended,Offer2,Employed,Single,College,2,89,427.2,28754,10155.30044
SUV,Extended,Offer2,Employed,Married,Master,3,129,347.075948,58327,10364.34749
Four-Door Car,Basic,Offer1,Disabled,Married,Doctor,1,62,297.6,25703,2435.619979
Sports Car,Basic,Offer1,Disabled,Married,Bachelor,1,103,535.080276,18375,3954.344534
Four-Door Car,Basic,Offer3,Employed,Single,High School or Below,1,63,188.325603,86617,2518.112127
Four-Door Car,Basic,Offer3,Employed,Married,College,1,66,159.756733,94041,2667.270014
Four-Door Car,Basic,Offer1,Employed,Married,High School or Below,3,72,19.281882,32224,5720.897922
SUV,Extended,Offer1,Employed,Married,Master,1,129,619.2,68867,5220.685297
Two-Door Car,Premium,Offer3,Employed,Divorced,College,1,111,165.588524,47747,4379.770178
SUV,Basic,Offer3,Employed,Divorced,Bachelor,2,114,547.2,49088,13107.92594
Four-Door Car,Basic,Offer2,Unemployed,Married,High School or Below,1,74,355.2,0,2746.080105
Four-Door Car,Basic,Offer1,Employed,Single,High School or Below,9,66,294.284951,61080,5049.689638
Four-Door Car,Basic,Offer1,Disabled,Divorced,Bachelor,1,63,352.394515,19864,2359.423599
Four-Door Car,Basic,Offer1,Retired,Divorced,Bachelor,1,63,302.4,25905,2300.691547
Four-Door Car,Extended,Offer2,Employed,Married,Doctor,6,99,475.2,63688,7949.28426
Four-Door Car,Basic,Offer1,Disabled,Divorced,College,1,71,340.8,23170,2646.573754
Two-Door Car,Basic,Offer3,Employed,Divorced,High School or Below,2,65,279.715067,42754,19079.09518
Four-Door Car,Extended,Offer4,Unemployed,Married,Bachelor,3,87,417.6,0,6361.954003
Sports Car,Extended,Offer2,Employed,Divorced,Doctor,5,137,657.6,24164,10972.06778
Four-Door Car,Basic,Offer3,Disabled,Divorced,Bachelor,3,74,437.608909,16101,5534.569714
Four-Door Car,Basic,Offer4,Employed,Married,Bachelor,3,68,267.214383,88251,5475.337618
Four-Door Car,Extended,Offer2,Employed,Married,Doctor,1,99,475.2,37384,4014.453113
Two-Door Car,Basic,Offer1,Employed,Married,College,2,72,345.6,27961,25581.61014
Two-Door Car,Extended,Offer2,Disabled,Married,High School or Below,9,92,441.6,27604,6969.880958
Two-Door Car,Basic,Offer3,Employed,Married,Master,1,65,312,23692,2541.627614
SUV,Premium,Offer1,Employed,Married,High School or Below,7,178,854.4,74871,14517.43681
Four-Door Car,Extended,Offer1,Unemployed,Married,Master,1,80,286.115778,0,2993.024583
SUV,Basic,Offer1,Unemployed,Married,High School or Below,6,100,480,0,7550.41865
Sports Car,Extended,Offer4,Unemployed,Single,High School or Below,1,135,648,0,4872.577302
Four-Door Car,Premium,Offer1,Employed,Single,Bachelor,6,119,222.582872,68164,9175.171899
Four-Door Car,Extended,Offer1,Unemployed,Married,Bachelor,3,93,149.269407,0,6986.603722
Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,3,62,408.374746,21709,4892.435461
Two-Door Car,Basic,Offer2,Employed,Married,Doctor,2,62,432.480275,58883,15118.89548
Two-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,4,70,585.482275,0,4653.094259
SUV,Extended,Offer4,Employed,Single,Bachelor,1,134,643.2,82166,5189.289582
Four-Door Car,Extended,Offer1,Employed,Single,College,1,81,285.020982,91774,3226.516193
Four-Door Car,Extended,Offer1,Unemployed,Divorced,High School or Below,1,93,446.4,0,3052.629532
Four-Door Car,Basic,Offer3,Employed,Divorced,Bachelor,7,68,326.4,31561,5324.38786
Four-Door Car,Extended,Offer1,Employed,Married,High School or Below,6,93,398.100233,30250,7366.093547
Luxury Car,Basic,Offer2,Unemployed,Married,Bachelor,2,182,873.6,0,52811.49112
Two-Door Car,Basic,Offer1,Employed,Single,College,2,72,313.366255,86901,25805.50599
Four-Door Car,Basic,Offer1,Employed,Divorced,College,1,65,91.941259,72834,2464.238061
Four-Door Car,Basic,Offer3,Unemployed,Single,High School or Below,8,64,628.801638,0,4428.038374
Four-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,7,61,292.8,0,4250.282624
SUV,Basic,Offer1,Employed,Single,Bachelor,2,104,499.2,44428,12036.62051
Two-Door Car,Extended,Offer1,Unemployed,Single,High School or Below,7,79,407.440238,0,5568.947534
Four-Door Car,Basic,Offer1,Employed,Single,College,3,66,316.8,96668,5272.191556
Two-Door Car,Basic,Offer2,Employed,Married,College,1,64,106.591949,83758,2585.955652
Two-Door Car,Premium,Offer1,Employed,Married,High School or Below,2,105,1023.844984,39007,12521.42105
Four-Door Car,Basic,Offer3,Employed,Married,High School or Below,2,64,24.063693,87620,7726.993623
SUV,Basic,Offer4,Employed,Married,High School or Below,2,103,355.409311,64396,16373.7273
Four-Door Car,Basic,Offer1,Unemployed,Married,High School or Below,7,72,345.6,0,5341.438779
SUV,Extended,Offer1,Unemployed,Single,Master,2,125,900,0,13024.13012
Four-Door Car,Basic,Offer1,Employed,Married,College,9,67,321.6,55350,5380.898636
Four-Door Car,Basic,Offer2,Unemployed,Single,High School or Below,3,67,482.4,0,4858.067125
Two-Door Car,Basic,Offer2,Employed,Married,High School or Below,5,67,321.6,25714,5319.838729
Sports Car,Basic,Offer2,Unemployed,Married,High School or Below,7,119,856.8,0,8500.12195
Four-Door Car,Extended,Offer2,Unemployed,Married,College,4,83,254.142365,0,6259.477847
Four-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,2,70,504,0,20123.86854
Four-Door Car,Extended,Offer1,Employed,Married,College,6,98,346.971517,58345,7772.473464
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,2,68,87.803087,95241,8170.621997
Four-Door Car,Basic,Offer1,Employed,Divorced,Master,2,67,175.97506,53691,24138.05975
Four-Door Car,Basic,Offer1,Employed,Divorced,High School or Below,2,65,183.293091,76590,7887.964945
Two-Door Car,Basic,Offer3,Unemployed,Single,College,1,65,468,0,2274.647023
Four-Door Car,Basic,Offer3,Employed,Married,College,2,62,297.6,41440,14808.05624
Four-Door Car,Extended,Offer2,Unemployed,Married,Bachelor,3,76,364.8,0,5678.050167
Four-Door Car,Basic,Offer1,Medical Leave,Single,Bachelor,1,63,302.4,26304,2345.129694
Two-Door Car,Premium,Offer1,Employed,Married,College,2,102,489.6,88340,12280.76661
Four-Door Car,Premium,Offer1,Employed,Divorced,High School or Below,2,119,571.2,46587,41787.90343
Four-Door Car,Basic,Offer1,Employed,Married,High School or Below,4,66,213.574473,88669,5320.081159
Four-Door Car,Basic,Offer3,Employed,Married,Doctor,7,73,419.471438,83308,5837.528088
Four-Door Car,Basic,Offer1,Employed,Married,College,9,67,321.6,55350,5380.898636
SUV,Basic,Offer4,Unemployed,Married,High School or Below,2,113,542.4,0,29037.47753
Two-Door Car,Basic,Offer1,Medical Leave,Single,College,4,65,362.774545,12964,4770.550911
Sports Car,Extended,Offer1,Employed,Single,High School or Below,2,131,810.06514,50461,15626.28021
Four-Door Car,Basic,Offer2,Employed,Single,College,3,67,134.124254,55289,5323.267311
SUV,Basic,Offer1,Employed,Married,Bachelor,2,106,419.365958,73054,12741.84754
SUV,Basic,Offer1,Unemployed,Married,College,3,110,528,0,7374.077921
Two-Door Car,Extended,Offer1,Retired,Divorced,College,8,84,403.2,13688,6086.431746
Two-Door Car,Extended,Offer2,Employed,Married,High School or Below,3,80,384,44368,6366.225775
Four-Door Car,Extended,Offer1,Employed,Married,Master,3,92,270.563995,71135,7396.283653
Four-Door Car,Extended,Offer1,Unemployed,Single,High School or Below,5,89,640.8,0,6414.081362
SUV,Basic,Offer2,Employed,Married,Bachelor,2,109,676.808053,43000,21886.19626
Four-Door Car,Basic,Offer3,Employed,Married,Master,7,68,387.774781,22908,5344.989624
Four-Door Car,Extended,Offer1,Disabled,Married,High School or Below,1,91,580.622219,16711,3499.988408
Four-Door Car,Basic,Offer2,Employed,Single,Bachelor,6,72,471.443077,74015,5555.830205
Four-Door Car,Extended,Offer1,Employed,Married,High School or Below,1,77,369.6,23277,2993.117683
SUV,Extended,Offer1,Medical Leave,Married,High School or Below,1,125,717.285949,17120,4853.100287
Four-Door Car,Premium,Offer2,Employed,Divorced,Bachelor,1,118,1026.741926,43367,4690.793868
Four-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,2,66,475.2,0,6880.63389
Four-Door Car,Extended,Offer1,Employed,Married,Bachelor,4,83,158.362972,50864,6478.801192
Four-Door Car,Premium,Offer2,Employed,Married,Bachelor,1,118,566.4,40160,4579.605586
SUV,Basic,Offer1,Unemployed,Single,Bachelor,1,117,842.4,0,4173.140695
SUV,Basic,Offer1,Employed,Married,College,2,114,547.2,25285,35900.07644
Four-Door Car,Basic,Offer3,Employed,Married,Master,8,63,12.744774,50363,5069.071361
Four-Door Car,Basic,Offer2,Employed,Married,College,2,74,355.2,83846,8717.049833
Four-Door Car,Extended,Offer2,Unemployed,Married,College,5,96,460.8,0,6912.03963
SUV,Basic,Offer1,Retired,Divorced,High School or Below,2,101,523.815839,20228,10408.96865
Two-Door Car,Basic,Offer4,Employed,Married,College,2,70,224.27582,92717,8459.053233
SUV,Basic,Offer3,Employed,Married,Bachelor,4,115,483.62724,57052,9268.672154
Four-Door Car,Basic,Offer3,Employed,Married,Bachelor,5,70,104.977375,66844,5375.821564
Four-Door Car,Basic,Offer4,Employed,Single,High School or Below,1,71,305.697525,48597,2488.241391
Two-Door Car,Extended,Offer1,Employed,Married,High School or Below,1,95,456,33043,3801.750407
Four-Door Car,Basic,Offer1,Employed,Single,College,3,64,132.947215,54827,4997.780688
Four-Door Car,Extended,Offer3,Employed,Married,College,8,82,393.6,28095,6403.577368
Two-Door Car,Extended,Offer1,Unemployed,Single,College,2,90,648,0,12840.43291
SUV,Extended,Offer1,Employed,Married,High School or Below,1,139,667.2,37995,5597.12496
SUV,Extended,Offer1,Unemployed,Married,High School or Below,2,128,715.951352,0,24868.24096
Two-Door Car,Basic,Offer3,Employed,Married,Doctor,2,61,276.590788,32312,7218.015592
SUV,Basic,Offer4,Employed,Married,Bachelor,2,118,53.076203,74028,19174.63407
Two-Door Car,Extended,Offer1,Employed,Married,Doctor,1,92,441.6,31278,3528.044252
Four-Door Car,Extended,Offer2,Employed,Married,High School or Below,2,78,343.340301,75264,9388.162927
Two-Door Car,Basic,Offer3,Employed,Married,College,1,73,350.4,29242,2837.163399
Four-Door Car,Extended,Offer2,Employed,Married,Master,9,81,388.8,74424,6554.390004
Four-Door Car,Basic,Offer1,Employed,Married,Bachelor,5,74,355.2,36685,5923.208
Two-Door Car,Basic,Offer1,Employed,Divorced,College,1,66,316.8,72302,2616.613903
Luxury Car,Basic,Offer3,Employed,Married,High School or Below,1,187,32.874675,62810,7408.167551
Four-Door Car,Basic,Offer4,Employed,Married,High School or Below,5,67,417.781693,60986,5331.737284
Four-Door Car,Extended,Offer1,Employed,Divorced,Master,3,96,1084.95655,42677,7689.700105
Four-Door Car,Premium,Offer3,Unemployed,Single,College,1,111,937.824847,0,3852.425156
Four-Door Car,Extended,Offer1,Disabled,Single,College,2,79,379.2,25073,8634.355958
SUV,Extended,Offer1,Retired,Divorced,Bachelor,5,125,600,16972,9029.71466
SUV,Basic,Offer4,Unemployed,Single,College,1,101,727.2,0,3540.90425
Luxury SUV,Basic,Offer3,Employed,Married,Bachelor,3,198,808.844338,95340,15531.78589
SUV,Extended,Offer1,Unemployed,Single,College,6,123,885.6,0,8098.51111
Two-Door Car,Basic,Offer1,Employed,Divorced,College,2,63,302.4,52497,7412.029748
Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,1,64,171.287759,67778,2566.398498
Four-Door Car,Basic,Offer2,Employed,Married,College,3,74,461.269135,31364,5828.1822
Four-Door Car,Basic,Offer1,Employed,Married,College,7,65,316.795337,63259,5233.986808
Two-Door Car,Basic,Offer1,Unemployed,Single,College,1,66,316.8,0,2215.912948
Two-Door Car,Premium,Offer1,Medical Leave,Married,College,1,115,508.614758,20394,4381.880534
Four-Door Car,Premium,Offer2,Employed,Married,Master,1,116,443.670399,83102,4678.423394
Luxury SUV,Basic,Offer1,Employed,Single,High School or Below,2,198,111.173021,64403,46770.94705
SUV,Basic,Offer1,Unemployed,Married,College,9,106,634.396608,0,7902.681227
Four-Door Car,Extended,Offer2,Medical Leave,Married,College,2,99,607.095655,23748,10952.13189
Four-Door Car,Basic,Offer4,Unemployed,Single,High School or Below,4,74,712.126586,0,5293.717318
Four-Door Car,Basic,Offer1,Employed,Divorced,College,6,69,217.973168,41662,5391.970996
Luxury Car,Extended,Offer1,Employed,Married,College,2,214,1027.2,71210,25807.063
SUV,Basic,Offer2,Employed,Married,Bachelor,1,112,339.048157,50909,4465.604359
Two-Door Car,Basic,Offer4,Employed,Married,High School or Below,1,66,430.604489,28663,2618.326183
Two-Door Car,Basic,Offer4,Employed,Married,Bachelor,1,64,308.240792,29250,2545.518369
Four-Door Car,Basic,Offer1,Employed,Divorced,Bachelor,5,68,263.090605,41336,5350.214918
SUV,Basic,Offer3,Unemployed,Married,High School or Below,9,111,532.8,0,8610.667489
Sports Car,Basic,Offer1,Employed,Divorced,Bachelor,2,118,566.4,67588,14166.20344
Four-Door Car,Extended,Offer2,Unemployed,Single,High School or Below,2,85,612,0,24337.38181
Two-Door Car,Basic,Offer1,Disabled,Married,Bachelor,3,70,336,22555,5407.745153
Four-Door Car,Extended,Offer1,Employed,Single,College,3,99,65.548725,37376,7716.997859
Four-Door Car,Basic,Offer2,Employed,Married,College,1,73,186.292275,23893,2902.622439
Four-Door Car,Basic,Offer1,Unemployed,Divorced,College,1,71,493.055291,0,2433.089468
SUV,Basic,Offer1,Unemployed,Divorced,Doctor,1,112,537.6,0,3839.606117
Two-Door Car,Basic,Offer1,Unemployed,Single,College,2,74,532.8,0,7756.307652
Four-Door Car,Premium,Offer1,Unemployed,Married,College,1,105,504,0,3885.456401
Four-Door Car,Basic,Offer1,Unemployed,Single,College,4,61,304.156333,0,4520.339327
Two-Door Car,Basic,Offer1,Employed,Married,Bachelor,3,72,475.423848,95733,5793.157728
Sports Car,Extended,Offer4,Employed,Married,College,1,129,238.262773,27228,4865.371797
SUV,Premium,Offer1,Disabled,Married,Bachelor,2,168,806.4,24695,25640.24004
Two-Door Car,Basic,Offer4,Employed,Married,Bachelor,1,72,110.484661,84768,2875.43239
Two-Door Car,Basic,Offer1,Retired,Married,Master,2,62,257.248789,21514,11981.98481
SUV,Premium,Offer1,Disabled,Divorced,Master,8,181,1261.319869,16181,13736.1325
Four-Door Car,Extended,Offer2,Employed,Married,Master,7,91,436.8,21841,7380.086414
Four-Door Car,Basic,Offer3,Employed,Married,High School or Below,7,70,336,66620,5619.849825
Four-Door Car,Premium,Offer1,Employed,Single,College,2,111,1072.532443,30763,12948.39854
Four-Door Car,Extended,Offer1,Disabled,Married,Bachelor,1,80,384,18558,3087.999917
Sports Car,Basic,Offer2,Employed,Divorced,Bachelor,1,119,571.2,41402,4477.45201
Two-Door Car,Basic,Offer2,Employed,Married,High School or Below,1,65,312,49675,2589.43003
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,1,70,113.724707,40506,2769.252177
Four-Door Car,Extended,Offer1,Unemployed,Divorced,Bachelor,2,80,69.142986,0,8520.145801
Four-Door Car,Extended,Offer3,Employed,Married,College,1,84,150.688024,46644,3355.528168
Four-Door Car,Premium,Offer1,Employed,Married,High School or Below,1,104,499.2,55897,4165.166581
Four-Door Car,Basic,Offer2,Employed,Divorced,High School or Below,3,74,212.039619,86277,5908.16294
Four-Door Car,Basic,Offer1,Employed,Married,College,3,61,352.089317,95765,4935.642812
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,6,67,321.6,25134,5318.89664
SUV,Basic,Offer2,Unemployed,Single,College,2,116,899.63718,0,28435.64035
Four-Door Car,Basic,Offer2,Unemployed,Single,Bachelor,3,74,407.218947,0,4691.043597
Two-Door Car,Premium,Offer4,Unemployed,Married,High School or Below,1,114,631.124372,0,4079.132667
Two-Door Car,Basic,Offer1,Employed,Married,High School or Below,3,66,475.2,20269,5301.835462
Two-Door Car,Premium,Offer1,Medical Leave,Married,Bachelor,6,105,504,11489,8110.333139
Four-Door Car,Basic,Offer3,Employed,Married,Bachelor,2,73,162.775889,56550,8696.7107
Four-Door Car,Extended,Offer1,Retired,Divorced,High School or Below,2,90,571.479602,11828,10083.48688
Two-Door Car,Extended,Offer2,Retired,Married,Bachelor,9,83,398.4,27681,6057.07208
Four-Door Car,Basic,Offer2,Unemployed,Single,College,5,73,365.364581,0,5411.953687
Sports Car,Basic,Offer3,Employed,Divorced,Bachelor,2,100,5.573179,97205,11900.54484
Two-Door Car,Extended,Offer4,Employed,Married,High School or Below,1,83,398.4,74142,3317.904817
Four-Door Car,Basic,Offer1,Employed,Divorced,Bachelor,1,69,331.2,94648,2744.519593
Four-Door Car,Extended,Offer3,Unemployed,Single,High School or Below,8,86,412.8,0,6179.699689
Four-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,3,67,482.4,0,4655.392106
Four-Door Car,Basic,Offer1,Unemployed,Married,Bachelor,5,73,350.4,0,5504.139033
Four-Door Car,Extended,Offer1,Employed,Divorced,College,2,83,81.599332,59325,9772.736775
Four-Door Car,Basic,Offer1,Employed,Single,Bachelor,6,69,76.586018,29853,5394.913017
Four-Door Car,Basic,Offer2,Employed,Single,High School or Below,2,74,355.2,87771,8503.942634
Sports Car,Extended,Offer1,Employed,Divorced,High School or Below,1,135,637.063458,50200,5295.741716
Four-Door Car,Basic,Offer1,Retired,Divorced,Bachelor,1,63,302.4,25905,2300.691547
Four-Door Car,Basic,Offer1,Employed,Married,High School or Below,3,71,315.160937,34974,5671.927479
Four-Door Car,Basic,Offer2,Employed,Divorced,Bachelor,1,67,321.6,24732,2576.380679
Four-Door Car,Basic,Offer1,Unemployed,Married,Bachelor,2,61,541.561209,0,7107.655397
Two-Door Car,Premium,Offer3,Employed,Married,Bachelor,7,111,377.781658,65605,8652.652451
Four-Door Car,Premium,Offer1,Unemployed,Divorced,High School or Below,1,116,556.8,0,4165.396419
Four-Door Car,Basic,Offer2,Disabled,Married,College,1,66,316.8,10860,2563.394054
Two-Door Car,Extended,Offer3,Unemployed,Married,Bachelor,1,81,388.8,0,2839.013244
SUV,Extended,Offer2,Unemployed,Married,Bachelor,1,124,250.723005,0,4569.8758
Two-Door Car,Basic,Offer1,Unemployed,Single,Bachelor,3,65,312,0,4492.518464
Four-Door Car,Basic,Offer1,Employed,Married,Master,5,64,48.046869,99428,5185.797582
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,2,70,448.374285,25542,11084.60844
Four-Door Car,Basic,Offer2,Employed,Married,College,2,64,268.471802,64801,7582.113842
Four-Door Car,Extended,Offer2,Employed,Divorced,High School or Below,1,84,104.280764,93489,3372.420457
Two-Door Car,Basic,Offer4,Medical Leave,Married,High School or Below,4,65,312,10194,4957.404306
Sports Car,Premium,Offer2,Employed,Single,College,1,154,739.2,66839,5989.773931
Four-Door Car,Premium,Offer3,Employed,Married,High School or Below,3,115,89.119797,75986,9312.585034
SUV,Basic,Offer2,Unemployed,Married,College,3,110,528,0,8197.197078
Four-Door Car,Basic,Offer1,Employed,Married,High School or Below,2,66,316.8,36409,7854.771821
SUV,Extended,Offer2,Employed,Divorced,College,2,122,636.982333,70600,14435.66453
Four-Door Car,Basic,Offer1,Disabled,Married,College,6,72,345.6,19280,5586.965345
Four-Door Car,Basic,Offer1,Medical Leave,Single,College,2,66,279.706613,24584,9688.129179
Two-Door Car,Premium,Offer2,Employed,Married,High School or Below,2,116,481.265179,60233,23208.39416
